[2020-03-28 01:06:55] Info: Starting up the df::LogManager...
[2020-03-28 01:06:55] Info: Starting up the df::WorldManager...
[2020-03-28 01:06:55] Info: Starting up the df::GameManager...
[2020-03-28 01:06:55] Info: Crate Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 20, 'altitude': 2, 'maxStepCount': 0}
[2020-03-28 01:06:55] Info: Crate Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20, 'y': 40, 'altitude': 3, 'maxStepCount': 25}
[2020-03-28 01:06:55] Info: Crate Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 60, 'altitude': 2, 'maxStepCount': 50}
[2020-03-28 01:06:55] Info: Crate Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 40, 'y': 80, 'altitude': 3, 'maxStepCount': 75}
[2020-03-28 01:06:55] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 20, 'altitude': 2, 'maxStepCount': 0}
[2020-03-28 01:06:55] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 21, 'y': 40, 'altitude': 3, 'maxStepCount': 25}
[2020-03-28 01:06:55] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 31, 'y': 60, 'altitude': 2, 'maxStepCount': 50}
[2020-03-28 01:06:55] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 39, 'y': 80, 'altitude': 3, 'maxStepCount': 75}
[2020-03-28 01:07:37] Info: Starting up the df::LogManager...
[2020-03-28 01:07:37] Info: Starting up the df::WorldManager...
[2020-03-28 01:07:37] Info: Starting up the df::GameManager...
[2020-03-28 01:07:37] Info: Crate Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 20, 'altitude': 2, 'maxStepCount': 0}
[2020-03-28 01:07:37] Info: Crate Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20, 'y': 40, 'altitude': 3, 'maxStepCount': 25}
[2020-03-28 01:07:37] Info: Crate Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 60, 'altitude': 2, 'maxStepCount': 50}
[2020-03-28 01:07:37] Info: Crate Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 40, 'y': 80, 'altitude': 3, 'maxStepCount': 75}
[2020-03-28 01:07:37] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 11, 'y': 20, 'altitude': 2, 'maxStepCount': 0}
[2020-03-28 01:07:37] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19, 'y': 40, 'altitude': 3, 'maxStepCount': 25}
[2020-03-28 01:07:37] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 60, 'altitude': 2, 'maxStepCount': 50}
[2020-03-28 01:07:37] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 41, 'y': 80, 'altitude': 3, 'maxStepCount': 75}
[2020-03-28 01:08:02] Info: Starting up the df::LogManager...
[2020-03-28 01:08:02] Info: Starting up the df::WorldManager...
[2020-03-28 01:08:02] Info: Starting up the df::GameManager...
[2020-03-28 01:08:02] Info: Crate Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 20, 'altitude': 2, 'maxStepCount': 0}
[2020-03-28 01:08:02] Info: Crate Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20, 'y': 40, 'altitude': 3, 'maxStepCount': 25}
[2020-03-28 01:08:02] Info: Crate Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 60, 'altitude': 2, 'maxStepCount': 50}
[2020-03-28 01:08:02] Info: Crate Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 40, 'y': 80, 'altitude': 3, 'maxStepCount': 75}
[2020-03-28 01:08:02] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 20, 'altitude': 2, 'maxStepCount': 0}
[2020-03-28 01:08:02] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 21, 'y': 40, 'altitude': 3, 'maxStepCount': 25}
[2020-03-28 01:08:02] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 31, 'y': 60, 'altitude': 2, 'maxStepCount': 50}
[2020-03-28 01:08:02] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 39, 'y': 80, 'altitude': 3, 'maxStepCount': 75}
[2020-03-28 01:09:15] Info: Starting up the df::LogManager...
