[2020-04-02 01:52:15] Info: Starting up the df::LogManager...
[2020-04-02 01:52:15] Info: Starting up the df::WorldManager...
[2020-04-02 01:52:15] Info: Starting up the df::DisplayManager...
[2020-04-02 01:52:15] Info: Starting up the df::InputManager...
[2020-04-02 01:52:15] Info: Starting up the df::GameManager...
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19.98426814475, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 29.98426814475, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:15] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 24.98426814475, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19.98426814475, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 29.98426814475, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:15] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 24.996957074915, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19.996957074915, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 29.996957074915, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:15] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.097118083864, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.097118083864, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.097118083864, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:15] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.207150311578, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.207150311578, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.207150311578, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:15] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.319257402713, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.319257402713, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.319257402713, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:15] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.431825402596, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:15] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.431825402596, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:15] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.431825402596, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.344496957194, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:16] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.344496957194, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:16] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.344496957194, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.236870699818, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:16] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.236870699818, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:16] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.236870699818, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.125287288541, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:16] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.125287288541, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:16] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.125287288541, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25.012836430869, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:16] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20.012836430869, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:16] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30.012836430869, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 24.900191235477, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:16] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19.900191235477, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:16] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 29.900191235477, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 24.987502295433, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-04-02 01:52:16] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19.987502295433, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-04-02 01:52:16] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 29.987502295433, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-04-02 01:52:16] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9.888888888889, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
